Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Louisville,Weekly,"2024-01-14 00:00:00",Conventional,0.876251738,172222.93,101209.90,27321.59,72.18,43619.27,,,
Louisville,Weekly,"2024-01-08 00:00:00",Conventional,1.167617399,140913.15,49220.84,48242.84,83.12,43366.35,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-28 00:00:00",Conventional,0.970234212,1363617.17,981500.66,14082.18,52.92,367981.41,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-21 00:00:00",Conventional,0.957215607,1313682.97,923265.96,16706.36,46.72,373663.92,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-14 00:00:00",Conventional,1.071177642,1216641.42,835245.02,12347.03,56.39,368992.98,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-08 00:00:00",Conventional,0.959269520,1203911.57,834465.09,23717.83,51.24,345677.40,,,
Midsouth,Weekly,"2024-01-28 00:00:00",Conventional,1.071994480,4106345.94,2118372.78,605181.04,7317.23,1375474.89,,,
Midsouth,Weekly,"2024-01-21 00:00:00",Conventional,1.077334683,4181420.03,2122850.28,728677.57,7167.31,1322724.88,,,
Midsouth,Weekly,"2024-01-14 00:00:00",Conventional,1.062365045,4386716.11,2334614.73,664270.06,7008.77,1380822.55,,,
Midsouth,Weekly,"2024-01-08 00:00:00",Conventional,1.104171162,4104772.20,1929973.94,792285.13,7757.52,1374755.61,,,
Nashville,Weekly,"2024-01-28 00:00:00",Conventional,0.931958047,337715.30,214218.33,25753.87,12.20,97730.90,,,
Nashville,Weekly,"2024-01-21 00:00:00",Conventional,0.957440504,312597.40,180118.91,38184.21,11.77,94282.51,,,
Nashville,Weekly,"2024-01-14 00:00:00",Conventional,0.965767990,354793.31,223812.60,30302.74,17.19,100660.78,,,
Nashville,Weekly,"2024-01-08 00:00:00",Conventional,1.060064845,318403.39,162748.31,64677.62,16.58,90960.88,,,
"Northern New England",Weekly,"2024-01-28 00:00:00",Conventional,0.994055102,515330.51,182723.83,204790.98,123.54,127692.16,,,
"Northern New England",Weekly,"2024-01-21 00:00:00",Conventional,1.024199151,607909.15,248288.66,276015.35,149.63,83455.50,,,
"Northern New England",Weekly,"2024-01-14 00:00:00",Conventional,1.036259560,456499.81,173396.39,202180.63,96.35,80826.44,,,
