Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"San Francisco",Weekly,"2024-01-08 00:00:00",Organic,1.977190708,61990.75,23806.25,3179.24,0.00,35005.25,,,
Seattle,Weekly,"2024-01-28 00:00:00",Organic,2.181778118,68457.10,480.99,54883.37,2.26,13090.48,,,
Seattle,Weekly,"2024-01-21 00:00:00",Organic,2.037897717,66431.53,476.34,52051.46,1.13,13902.59,,,
Seattle,Weekly,"2024-01-14 00:00:00",Organic,2.013959026,70305.74,842.29,55566.79,25.94,13870.72,,,
Seattle,Weekly,"2024-01-08 00:00:00",Organic,2.141245656,64585.40,2418.00,48011.21,4.51,14151.68,,,
"South Carolina",Weekly,"2024-01-28 00:00:00",Organic,1.179291186,55471.88,696.36,3244.97,1.16,51529.39,,,
"South Carolina",Weekly,"2024-01-21 00:00:00",Organic,1.168338410,52418.64,382.11,2944.37,0.00,49092.16,,,
"South Carolina",Weekly,"2024-01-14 00:00:00",Organic,1.259571208,51537.38,469.24,3533.63,0.00,47534.52,,,
"South Carolina",Weekly,"2024-01-08 00:00:00",Organic,1.215950403,55912.15,837.44,2910.00,0.00,52164.71,,,
"South Central",Weekly,"2024-01-28 00:00:00",Organic,1.091607884,212294.77,39129.61,3781.45,0.00,169383.71,,,
"South Central",Weekly,"2024-01-21 00:00:00",Organic,1.129596921,191448.11,43261.29,3018.03,0.00,145168.78,,,
"South Central",Weekly,"2024-01-14 00:00:00",Organic,1.163267854,236862.86,55465.55,4953.34,0.00,176443.97,,,
"South Central",Weekly,"2024-01-08 00:00:00",Organic,1.136694543,219896.53,51211.10,4105.30,0.00,164580.13,,,
Southeast,Weekly,"2024-01-28 00:00:00",Organic,1.159543748,420201.50,2111.73,19518.31,1.25,398570.21,,,
Southeast,Weekly,"2024-01-21 00:00:00",Organic,1.160489913,413074.49,2164.16,18697.18,0.00,392213.15,,,
Southeast,Weekly,"2024-01-14 00:00:00",Organic,1.225339751,386824.29,2803.67,22117.19,0.00,361903.42,,,
Southeast,Weekly,"2024-01-08 00:00:00",Organic,1.204425491,404457.76,3384.89,20924.10,0.00,380148.76,,,
Spokane,Weekly,"2024-01-28 00:00:00",Organic,2.163352896,5040.44,67.94,2176.56,0.00,2795.93,,,
Spokane,Weekly,"2024-01-21 00:00:00",Organic,1.996213261,4885.42,42.43,2284.78,0.00,2558.20,,,
Spokane,Weekly,"2024-01-14 00:00:00",Organic,1.976721492,4941.04,194.32,2113.17,0.00,2633.56,,,
Spokane,Weekly,"2024-01-08 00:00:00",Organic,2.030835151,5494.96,1047.17,1719.66,0.00,2728.13,,,
"St. Louis",Weekly,"2024-01-28 00:00:00",Organic,1.732088038,11313.67,1402.43,3095.75,0.00,6815.49,,,
"St. Louis",Weekly,"2024-01-21 00:00:00",Organic,1.497195492,9134.57,1619.99,2377.68,0.00,5136.90,,,
"St. Louis",Weekly,"2024-01-14 00:00:00",Organic,1.864546047,7966.13,785.59,2630.12,0.00,4550.43,,,
"St. Louis",Weekly,"2024-01-08 00:00:00",Organic,1.936349519,7833.66,827.25,2765.53,0.00,4240.87,,,
Syracuse,Weekly,"2024-01-28 00:00:00",Organic,1.479613028,5231.08,211.16,85.20,0.00,4934.72,,,
Syracuse,Weekly,"2024-01-21 00:00:00",Organic,1.460483453,5284.76,226.69,79.19,0.00,4978.89,,,
Syracuse,Weekly,"2024-01-14 00:00:00",Organic,1.488415530,5331.03,168.31,80.34,0.00,5082.38,,,
Syracuse,Weekly,"2024-01-08 00:00:00",Organic,1.513777682,6378.30,179.00,150.13,0.00,6049.17,,,
Tampa,Weekly,"2024-01-28 00:00:00",Organic,1.229680311,31516.80,182.10,65.10,0.00,31269.60,,,
Tampa,Weekly,"2024-01-21 00:00:00",Organic,1.247206340,33359.74,236.06,55.65,0.00,33068.04,,,
Tampa,Weekly,"2024-01-14 00:00:00",Organic,1.249661295,29327.92,189.94,50.40,0.00,29087.57,,,
Tampa,Weekly,"2024-01-08 00:00:00",Organic,1.266958947,29911.88,233.27,65.10,0.00,29613.51,,,
Toledo,Weekly,"2024-01-28 00:00:00",Organic,1.486614177,7279.34,537.07,1166.72,0.00,5575.55,,,
Toledo,Weekly,"2024-01-21 00:00:00",Organic,1.682450839,5913.43,315.66,1540.33,0.00,4057.44,,,
Toledo,Weekly,"2024-01-14 00:00:00",Organic,1.703823533,5239.55,705.01,972.12,0.00,3562.42,,,
Toledo,Weekly,"2024-01-08 00:00:00",Organic,1.525389440,7779.66,1206.47,977.29,0.00,5595.91,,,
West,Weekly,"2024-01-28 00:00:00",Organic,1.633332100,362351.99,55137.79,121112.14,3.42,186098.64,,,
West,Weekly,"2024-01-21 00:00:00",Organic,1.562440509,372057.69,69966.73,114134.72,1.15,187955.09,,,
West,Weekly,"2024-01-14 00:00:00",Organic,1.609120485,374433.07,74516.10,124145.62,33.42,175737.93,,,
West,Weekly,"2024-01-08 00:00:00",Organic,1.638140834,381497.84,84377.49,119684.85,17.06,177418.45,,,
"West Tex/New Mexico",Weekly,"2024-01-28 00:00:00",Organic,1.234908136,28797.04,2488.75,1050.91,0.00,25257.39,,,
"West Tex/New Mexico",Weekly,"2024-01-21 00:00:00",Organic,1.403555988,29502.94,6931.47,1053.45,0.00,21518.02,,,
"West Tex/New Mexico",Weekly,"2024-01-14 00:00:00",Organic,1.536053511,39152.25,12599.16,1235.29,0.00,25317.80,,,
"West Tex/New Mexico",Weekly,"2024-01-08 00:00:00",Organic,1.373360254,42014.96,13406.63,1330.17,0.00,27278.15,,,
Wichita,Weekly,"2024-01-28 00:00:00",Organic,1.200619125,4263.50,1455.94,2.13,0.00,2805.43,,,
Wichita,Weekly,"2024-01-21 00:00:00",Organic,1.209081319,3776.52,1101.89,3.20,0.00,2671.42,,,
Wichita,Weekly,"2024-01-14 00:00:00",Organic,1.224560822,4976.57,2049.02,0.00,0.00,2927.55,,,
Wichita,Weekly,"2024-01-08 00:00:00",Organic,1.204059851,5350.96,1877.34,6.40,0.00,3467.22,,,
"Total U.S.",Weekly,"2024-01-28 00:00:00",Organic,1.380187237,2375147.38,266120.70,289761.95,5321.50,1813943.23,,,
"Total U.S.",Weekly,"2024-01-21 00:00:00",Organic,1.398236522,2347324.23,308719.69,287379.52,5462.77,1745762.26,,,
"Total U.S.",Weekly,"2024-01-14 00:00:00",Organic,1.443380025,2317192.32,316409.37,299216.63,5552.76,1696013.57,,,
"Total U.S.",Weekly,"2024-01-08 00:00:00",Organic,1.425530577,2365750.72,327524.33,269295.12,5372.31,1763558.96,,,
"Source: IRI confidential information. HAB's calculation based in part on data reported by Information Resources, Inc. for the avocado category for Multi-Outlet (MULO). The information is believed to be reliable at the time supplied by IRI but is neither all-inclusive nor guaranteed by IRI. Without limiting the generality of the foregoing, specific data points may vary considerably from other information sources.",,,,,,,,,,,,
